adiposity	sequence_id	protein	gene	cancer	group
BMI	8838_10	CASC4	CASC4	overall	Sex-combined
BMI	8838_10	CASC4	CASC4	overall-HRC-EUR	Sex-combined
BMI	8838_10	CASC4	CASC4	colon	Sex-combined
BMI	8838_10	CASC4	CASC4	rectal	Sex-combined
BMI	8993_151	RIPK2	RIPK2	colon	Sex-combined
BMI	8993_151	RIPK2	RIPK2	distal	Sex-combined
BMI	9061_3	ARHGA	ARHGEF10	distal	Sex-combined
BMI	9255_5	IL_17C	IL17C	overall-HRC-EUR	Sex-combined
BMI	9255_5	IL_17C	IL17C	distal	Sex-combined
BMI	9255_5	IL_17C	IL17C	rectal	Sex-combined
BMI	9402_18	DCBD1	DCBLD1	rectal	Sex-combined
BMI	9582_93	SUSD1	SUSD1	distal	Sex-combined
BMI	9585_80	ACAM	CLMP	distal	Sex-combined
BMI	9585_80	ACAM	CLMP	rectal	Sex-combined
BMI	9609_25	ZN275	ZNF275	proximal	Sex-combined
BMI	9834_62	ADH1B	ADH1B	overall	Sex-combined
BMI	9834_62	ADH1B	ADH1B	overall-HRC-EUR	Sex-combined
BMI	10015_119	KCAB2	KCNAB2	proximal	Female
BMI	10063_10	FANCL	FANCL	proximal	Female
BMI	10063_10	FANCL	FANCL	rectal	Female
BMI	10361_25	OAS1	OAS1	distal	Female
BMI	10425_3	B4GT5	B4GALT5	rectal	Female
BMI	10462_14	INSL5	INSL5	distal	Female
BMI	10490_3	RPN1	RPN1	overall	Female
BMI	10563_13	LYSM3	LYSMD3	proximal	Female
BMI	10618_190	megalin	LRP2	proximal	Female
BMI	10618_190	megalin	LRP2	rectal	Female
BMI	10621_26	PRR16	PRR16	colon	Female
BMI	10638_1	TINF2	TINF2	distal	Female
BMI	10713_151	CLM7	CD300LB	colon	Female
BMI	10713_151	CLM7	CD300LB	distal	Female
BMI	10842_7	GCNT4	GCNT4	rectal	Female
BMI	11098_1	PDXK	PDXK	colon	Female
BMI	11112_18	KISHA	TMEM167A	proximal	Female
BMI	11126_102	TRIO	TRIO	distal	Female
BMI	11146_4	TBX22	TBX22	proximal	Female
BMI	11149_3	TLR1	TLR1	rectal	Female
BMI	11155_16	CO6A5	COL6A5	overall	Female
BMI	11155_16	CO6A5	COL6A5	proximal	Female
BMI	11163_7	F162B	FAM162B	distal	Female
BMI	11168_3	MEG10	MEGF10	proximal	Female
BMI	11205_10	Integrin_beta_7	ITGB7	proximal	Female
BMI	11284_24	LAIR1	LAIR1	proximal	Female
BMI	11289_31	KC1D	CSNK1D	overall	Female
BMI	11289_31	KC1D	CSNK1D	distal	Female
BMI	11289_31	KC1D	CSNK1D	rectal	Female
BMI	11350_30	CHIP	STUB1	colon	Female
BMI	11350_30	CHIP	STUB1	distal	Female
BMI	11444_49	RPC6	POLR3F	distal	Female
BMI	11486_26	ZN174	ZNF174	proximal	Female
BMI	11567_23	ZNF10	ZNF10	overall	Female
BMI	11567_23	ZNF10	ZNF10	colon	Female
BMI	11567_23	ZNF10	ZNF10	distal	Female
BMI	11567_23	ZNF10	ZNF10	proximal	Female
BMI	11591_43	PRC1	PRC1	proximal	Female
BMI	11592_1	ELAV1	ELAVL1	proximal	Female
BMI	11593_21	MIG	CXCL9	proximal	Female
BMI	11617_1	LFA_1_alpha_L_chain	ITGAL	overall	Female
BMI	11617_1	LFA_1_alpha_L_chain	ITGAL	proximal	Female
BMI	11617_1	LFA_1_alpha_L_chain	ITGAL	rectal	Female
BMI	11667_29	TENC1	TNS2	overall	Female
BMI	11667_29	TENC1	TNS2	rectal	Female
BMI	12361_102	RRAS2	RRAS2	colon	Female
BMI	12366_16	CRGD	CRYGD	proximal	Female
BMI	12385_4	CAN3	CAPN3	overall	Female
BMI	12439_67	ISGF3	IRF9	distal	Female
BMI	12444_39	NR5A2	NR5A2	proximal	Female
BMI	12513_8	GLTP	GLTP	proximal	Female
BMI	12513_8	GLTP	GLTP	rectal	Female
BMI	12527_50	THA	THRA	distal	Female
BMI	12577_100	FLAP_endonuclease_1	FEN1	colon	Female
BMI	12604_16	SCMH1	SCMH1	distal	Female
BMI	12636_113	SMYD2	SMYD2	rectal	Female
BMI	12647_52	SETD2	SETD2	proximal	Female
BMI	12661_44	GBRL1	GABARAPL1	overall	Female
BMI	12661_44	GBRL1	GABARAPL1	colon	Female
BMI	12664_19	PTN13	PTPN13	proximal	Female
BMI	12667_2	GUAD	GDA	proximal	Female
BMI	12684_5	ADSV	SCIN	colon	Female
BMI	12705_9	HERC1	HERC1	distal	Female
BMI	12705_9	HERC1	HERC1	rectal	Female
BMI	12712_9	HM20A	HMG20A	proximal	Female
BMI	12734_112	KIF22	KIF22	distal	Female
BMI	12735_39	CSDE1	CSDE1	proximal	Female
BMI	12743_18	BAG5	BAG5	colon	Female
BMI	12743_18	BAG5	BAG5	proximal	Female
BMI	12750_9	LFA_1_beta_2	ITGB2	proximal	Female
BMI	12793_4	PIWL1	PIWIL1	overall	Female
BMI	12795_2	ZN566	ZNF566	proximal	Female
BMI	12798_46	S4A8	SLC4A8	proximal	Female
BMI	12801_33	IRF2	IRF2	distal	Female
BMI	12801_33	IRF2	IRF2	rectal	Female
BMI	12820_1	GRAP	GRAP	proximal	Female
BMI	12821_6	NAL10	NLRP10	colon	Female
BMI	12821_6	NAL10	NLRP10	distal	Female
BMI	12867_40	DYLT3	DYNLT3	overall	Female
BMI	12867_40	DYLT3	DYNLT3	colon	Female
BMI	12867_40	DYLT3	DYNLT3	distal	Female
BMI	12867_40	DYLT3	DYNLT3	proximal	Female
BMI	12867_40	DYLT3	DYNLT3	rectal	Female
BMI	13027_20	CBX7	CBX7	distal	Female
BMI	13056_18	S6A16	SLC6A16	overall	Female
BMI	13078_3	CETN2	CETN2	colon	Female
BMI	13412_5	WFDC6	WFDC6	overall	Female
BMI	13449_25	SF3B4	SF3B4	overall	Female
BMI	13481_24	TCEA2	TCEA2	rectal	Female
BMI	13492_44	HSPA9B	HSPA9	colon	Female
BMI	13492_44	HSPA9B	HSPA9	distal	Female
BMI	13493_5	GRID1	GRID1	distal	Female
BMI	13532_25	NEPR1	CNEP1R1	proximal	Female
BMI	13535_2	C43BP	COL4A3BP	distal	Female
BMI	13561_5	5HT6R	HTR6	overall	Female
BMI	13563_259	ACBD7	ACBD7	overall	Female
BMI	13563_259	ACBD7	ACBD7	distal	Female
BMI	13563_259	ACBD7	ACBD7	proximal	Female
BMI	13727_44	SPOP	SPOP	overall	Female
BMI	13947_371	NUD12	NUDT12	overall	Female
BMI	13947_371	NUD12	NUDT12	colon	Female
