sequence_id	protein	gene	adiposity	group
15497_9	HS3S1	HS3ST1	BMI	Male
15511_37	NPTXR	NPTXR	BMI	Male
15513_108	Prostasin	PRSS8	BMI	Male
15514_26	Pseudocholinesterase	BCHE	BMI	Male
15515_2	SAA	SAA1	BMI	Male
15533_97	Macrophage_scavenger_receptor	MSR1	BMI	Male
15539_15	SLIK1	SLITRK1	BMI	Male
15544_25	kallikrein_14	KLK14	BMI	Male
15556_49	Alpha_amylase_2B	AMY2B	BMI	Male
15559_5	ANTR2	ANTXR2	BMI	Male
15562_24	BGLR	GUSB	BMI	Male
15573_110	CSPG3	NCAN	BMI	Male
15585_304	fibulin_5	FBLN5	BMI	Male
15594_47	HTRA1	HTRA1	BMI	Male
15668_19	BMP_8	BMP8B	BMI	Male
15686_49	INHBC	INHBC	BMI	Male
15688_30	Mannose_binding_lectin	LMAN1	BMI	Male
15692_300	NODAL	NODAL	BMI	Male
15693_9	PgR	PGR	BMI	Male
16015_19	ALT	GPT	BMI	Male
16307_22	UNC5H4	UNC5D	BMI	Male
16318_12	ALK_1	ACVRL1	BMI	Male
16324_38	TLR1	TLR1	BMI	Male
16594_44	FAIM1	FAIM	BMI	Male
16612_28	SDC3	SDC3	BMI	Male
16616_137	ENOB	ENO3	BMI	Male
16749_79	BMP_3b	GDF10	BMI	Male
16763_11	LECT2	LECT2	BMI	Male
16803_4	CALB2	CALB2	BMI	Male
16807_35	TNNT3	TNNT3	BMI	Male
16836_1	FHR3	CFHR3	BMI	Male
16850_5	RGS5	RGS5	BMI	Male
16890_37	ATL1	ADAMTSL1	BMI	Male
16907_3	Nectin_like_protein_3	CADM2	BMI	Male
16908_5	OMGP	OMG	BMI	Male
17138_8	GST_A1_1	GSTA1	BMI	Male
17152_10	KI2S4	KIR2DS4	BMI	Male
17156_72	DCAK1	DCLK1	BMI	Male
17200_50	KI2L1	KIR2DL1	BMI	Male
17231_1	L_plastin	LCP1	BMI	Male
17319_1	SELH	SELH	BMI	Male
17326_44	DUS23	DUSP23	BMI	Male
17342_13	AGR3	AGR3	BMI	Male
17366_6	DCNL1	DCUN1D1	BMI	Male
17396_23	ADH1A	ADH1A	BMI	Male
17404_5	ARL5B	ARL5B	BMI	Male
17441_4	Alkaline_phosphatase__intestine	ALPI	BMI	Male
17451_13	BIM	BCL2L11	BMI	Male
17455_42	FOLR1	FOLR1	BMI	Male
17456_53	GOLM1	GOLM1	BMI	Male
17462_19	IRF1	IRF1	BMI	Male
17505_125	NALDL	NAALADL1	BMI	Male
17510_7	SRP14	SRP14	BMI	Male
17673_34	Carbonic_Anhydrase_VB	CA5B	BMI	Male
17691_1	TPP1	TPP1	BMI	Male
17703_40	GEMI	GMNN	BMI	Male
17706_4	PPR1A	PPP1R1A	BMI	Male
17735_130	GBRAP	GABARAP	BMI	Male
17736_105	APTX	APTX	BMI	Male
17750_8	RIR2	RRM2	BMI	Male
17760_128	WDR5	WDR5	BMI	Male
17766_5	NCF_1	NCF1	BMI	Male
17805_35	SPF30	SMNDC1	BMI	Male
17806_6	Syntenin_1	SDCBP	BMI	Male
17811_78	ST1C2	SULT1C2	BMI	Male
17832_12	IDI2	IDI2	BMI	Male
17836_17	S100A16	S100A16	BMI	Male
17850_42	KLF4	KLF4	BMI	Male
