exposure	direction_group	outcome	group
PVR	NA	distal	Female
PXN	negative	distal	Female
QPCT	negative	distal	Female
RAB6A	NA	distal	Female
RABGAP1L	NA	distal	Female
RAD23B	NA	distal	Female
RARRES2	negative	distal	Female
RBP5	negative	distal	Female
REG1A	negative	distal	Female
REG1B	negative	distal	Female
REG3A	negative	distal	Female
REG4	NA	distal	Female
RELT	positive	distal	Female
REN	NA	distal	Female
RET	positive	distal	Female
RETN	negative	distal	Female
RGMA	positive	distal	Female
RGMB	positive	distal	Female
RILP	positive	distal	Female
RNASE3	positive	distal	Female
RNASET2	positive	distal	Female
ROBO1	positive	distal	Female
ROBO2	negative	distal	Female
ROR1	positive	distal	Female
RP2	NA	distal	Female
RTBDN	NA	distal	Female
RTN4R	negative	distal	Female
RWDD1	NA	distal	Female
S100A11	NA	distal	Female
S100A12	negative	distal	Female
S100A16	negative	distal	Female
S100A4	negative	distal	Female
SAMD9L	NA	distal	Female
SCAMP3	positive	distal	Female
SCARB2	positive	distal	Female
SCARF2	negative	distal	Female
SCG3	positive	distal	Female
SCGB3A2	negative	distal	Female
SCGN	negative	distal	Female
SCRN1	NA	distal	Female
SDC1	negative	distal	Female
SEMA7A	negative	distal	Female
SEPTIN9	NA	distal	Female
SERPINA11	positive	distal	Female
SERPINA9	positive	distal	Female
SERPINB1	positive	distal	Female
SERPINB8	NA	distal	Female
SERPINB9	NA	distal	Female
SESTD1	positive	distal	Female
SEZ6L	positive	distal	Female
SEZ6L2	positive	distal	Female
SFRP1	positive	distal	Female
SFTPA2	negative	distal	Female
SFTPD	positive	distal	Female
SH2D1A	NA	distal	Female
SIGLEC1	negative	distal	Female
SIGLEC10	negative	distal	Female
SIGLEC7	negative	distal	Female
SIRPA	negative	distal	Female
SIRPB1	negative	distal	Female
SIRT2	NA	distal	Female
SIT1	negative	distal	Female
SKAP1	negative	distal	Female
SKAP2	positive	distal	Female
SLAMF1	negative	distal	Female
SLAMF8	positive	distal	Female
SLC39A14	NA	distal	Female
SLITRK2	negative	distal	Female
SLITRK6	negative	distal	Female
SMAD1	positive	distal	Female
SMOC1	positive	distal	Female
SMOC2	positive	distal	Female
SMPD1	positive	distal	Female
SNAP23	NA	distal	Female
SNAP29	positive	distal	Female
SNX9	NA	distal	Female
SOD2	positive	distal	Female
SORCS2	negative	distal	Female
SPARCL1	positive	distal	Female
SPINK4	negative	distal	Female
SPINT1	positive	distal	Female
SPINT2	positive	distal	Female
SPON1	negative	distal	Female
SPP1	negative	distal	Female
SPRY2	positive	distal	Female
SRP14	NA	distal	Female
SRPK2	positive	distal	Female
SSC4D	positive	distal	Female
ST6GAL1	positive	distal	Female
STAMBP	NA	distal	Female
STAT5B	NA	distal	Female
STIP1	NA	distal	Female
STK11	positive	distal	Female
STK24	NA	distal	Female
STK4	positive	distal	Female
STX4	NA	distal	Female
SULT2A1	positive	distal	Female
SUMF2	positive	distal	Female
SUSD1	negative	distal	Female
TAFA5	NA	distal	Female
TARBP2	NA	distal	Female
TBC1D5	NA	distal	Female
TBCB	positive	distal	Female
TBL1X	negative	distal	Female
TCL1A	positive	distal	Female
TDGF1	NA	distal	Female
TDRKH	positive	distal	Female
TFF1	negative	distal	Female
TFF2	negative	distal	Female
TFF3	negative	distal	Female
TFPI	positive	distal	Female
TFRC	negative	distal	Female
TGFB1	negative	distal	Female
TGFBI	negative	distal	Female
TGFBR3	negative	distal	Female
TGM2	NA	distal	Female
THBS2	negative	distal	Female
THBS4	negative	distal	Female
THY1	positive	distal	Female
TIA1	NA	distal	Female
TIE1	negative	distal	Female
TIGAR	NA	distal	Female
TIMP1	positive	distal	Female
TIMP3	positive	distal	Female
TIMP4	positive	distal	Female
TINAGL1	positive	distal	Female
TLR3	negative	distal	Female
TMPRSS15	negative	distal	Female
TNFRSF10A	positive	distal	Female
TNFRSF10C	negative	distal	Female
TNFRSF11A	negative	distal	Female
TNFRSF11B	positive	distal	Female
TNFRSF12A	NA	distal	Female
TNFRSF13B	positive	distal	Female
TNFRSF13C	positive	distal	Female
TNFRSF14	positive	distal	Female
TNFRSF19	negative	distal	Female
TNFRSF1B	negative	distal	Female
TNFRSF21	negative	distal	Female
TNFRSF4	negative	distal	Female
TNFRSF6B	positive	distal	Female
TNFSF10	negative	distal	Female
TNFSF12	positive	distal	Female
TNFSF13	negative	distal	Female
TNFSF14	negative	distal	Female
TNXB	positive	distal	Female
TPMT	NA	distal	Female
TPP1	negative	distal	Female
TPSAB1	negative	distal	Female
TREM2	positive	distal	Female
TREML2	negative	distal	Female
