exposure	direction_group	outcome	group
TNFSF11	positive	proximal	Sex-combined
TNFSF12	negative	proximal	Sex-combined
TNFSF13	negative	proximal	Sex-combined
TNR	negative	proximal	Sex-combined
TNXB	positive	proximal	Sex-combined
TPMT	NA	proximal	Sex-combined
TPSAB1	negative	proximal	Sex-combined
TREM2	positive	proximal	Sex-combined
TREML2	positive	proximal	Sex-combined
TXLNA	NA	proximal	Sex-combined
TXNDC15	positive	proximal	Sex-combined
TXNDC5	negative	proximal	Sex-combined
TYMP	NA	proximal	Sex-combined
TYRO3	positive	proximal	Sex-combined
ULBP2	negative	proximal	Sex-combined
UMOD	negative	proximal	Sex-combined
USO1	negative	proximal	Sex-combined
USP8	positive	proximal	Sex-combined
UXS1	negative	proximal	Sex-combined
VASN	positive	proximal	Sex-combined
VAT1	positive	proximal	Sex-combined
VCAM1	negative	proximal	Sex-combined
VCAN	negative	proximal	Sex-combined
VEGFC	negative	proximal	Sex-combined
VEGFD	positive	proximal	Sex-combined
VMO1	positive	proximal	Sex-combined
VPS37A	NA	proximal	Sex-combined
VSIR	negative	proximal	Sex-combined
VSTM1	NA	proximal	Sex-combined
VSTM2L	NA	proximal	Sex-combined
VWA1	negative	proximal	Sex-combined
VWC2	NA	proximal	Sex-combined
VWF	negative	proximal	Sex-combined
WAS	NA	proximal	Sex-combined
WASF1	NA	proximal	Sex-combined
WFDC12	negative	proximal	Sex-combined
WIF1	negative	proximal	Sex-combined
WWP2	NA	proximal	Sex-combined
XCL1	negative	proximal	Sex-combined
YES1	NA	proximal	Sex-combined
ZBTB17	NA	proximal	Sex-combined
