sequence_id	direction_group	outcome	group
13085_18	NA	overall	Sex-combined
13088_397	negative	overall	Sex-combined
13093_6	negative	overall	Sex-combined
13094_75	positive	overall	Sex-combined
13095_51	negative	overall	Sex-combined
13097_11	negative	overall	Sex-combined
13101_60	NA	overall	Sex-combined
13102_1	positive	overall	Sex-combined
13105_7	negative	overall	Sex-combined
13107_9	negative	overall	Sex-combined
13111_79	negative	overall	Sex-combined
13112_179	positive	overall	Sex-combined
13113_7	positive	overall	Sex-combined
13114_50	positive	overall	Sex-combined
13118_5	positive	overall	Sex-combined
13119_26	negative	overall	Sex-combined
13122_19	positive	overall	Sex-combined
13123_3	negative	overall	Sex-combined
13124_20	negative	overall	Sex-combined
13125_45	negative	overall	Sex-combined
13130_150	NA	overall	Sex-combined
13131_5	negative	overall	Sex-combined
13229_20	positive	overall	Sex-combined
13374_4	negative	overall	Sex-combined
13377_3	negative	overall	Sex-combined
13384_110	NA	overall	Sex-combined
13386_248	negative	overall	Sex-combined
13387_55	negative	overall	Sex-combined
13392_13	negative	overall	Sex-combined
13399_33	negative	overall	Sex-combined
13405_61	negative	overall	Sex-combined
13412_5	NA	overall	Sex-combined
13416_8	negative	overall	Sex-combined
13429_3	negative	overall	Sex-combined
13430_50	NA	overall	Sex-combined
13431_74	NA	overall	Sex-combined
13434_172	NA	overall	Sex-combined
13435_31	negative	overall	Sex-combined
13436_54	NA	overall	Sex-combined
13439_6	negative	overall	Sex-combined
13441_30	negative	overall	Sex-combined
13449_25	NA	overall	Sex-combined
13450_49	negative	overall	Sex-combined
13451_2	NA	overall	Sex-combined
13465_5	positive	overall	Sex-combined
13468_5	NA	overall	Sex-combined
13472_35	negative	overall	Sex-combined
13473_55	negative	overall	Sex-combined
13474_40	NA	overall	Sex-combined
13476_16	NA	overall	Sex-combined
13477_65	positive	overall	Sex-combined
13481_24	NA	overall	Sex-combined
13482_14	positive	overall	Sex-combined
13485_20	negative	overall	Sex-combined
13488_3	negative	overall	Sex-combined
13490_1	negative	overall	Sex-combined
13491_40	negative	overall	Sex-combined
13492_44	NA	overall	Sex-combined
13495_48	negative	overall	Sex-combined
13498_1	negative	overall	Sex-combined
13499_30	negative	overall	Sex-combined
13502_2	negative	overall	Sex-combined
13503_19	NA	overall	Sex-combined
13507_51	negative	overall	Sex-combined
13509_5	NA	overall	Sex-combined
13510_7	negative	overall	Sex-combined
13512_28	NA	overall	Sex-combined
13513_174	NA	overall	Sex-combined
13514_121	negative	overall	Sex-combined
13515_8	positive	overall	Sex-combined
13516_46	negative	overall	Sex-combined
13519_112	negative	overall	Sex-combined
13524_25	positive	overall	Sex-combined
13525_17	negative	overall	Sex-combined
13529_39	negative	overall	Sex-combined
13530_5	NA	overall	Sex-combined
13532_25	NA	overall	Sex-combined
13534_20	negative	overall	Sex-combined
13535_2	positive	overall	Sex-combined
13539_131	negative	overall	Sex-combined
13540_1	negative	overall	Sex-combined
13544_9	NA	overall	Sex-combined
13545_97	negative	overall	Sex-combined
13547_5	NA	overall	Sex-combined
13548_53	negative	overall	Sex-combined
13549_15	negative	overall	Sex-combined
13554_78	negative	overall	Sex-combined
13557_3	negative	overall	Sex-combined
13561_5	NA	overall	Sex-combined
13563_259	NA	overall	Sex-combined
13565_2	positive	overall	Sex-combined
13566_2	negative	overall	Sex-combined
13570_43	positive	overall	Sex-combined
13573_5	NA	overall	Sex-combined
13574_50	negative	overall	Sex-combined
13587_10	positive	overall	Sex-combined
13588_11	NA	overall	Sex-combined
13589_10	negative	overall	Sex-combined
13590_1	negative	overall	Sex-combined
13594_158	NA	overall	Sex-combined
13595_20	negative	overall	Sex-combined
13596_3	negative	overall	Sex-combined
13597_20	negative	overall	Sex-combined
13603_7	negative	overall	Sex-combined
13605_16	negative	overall	Sex-combined
13610_9	negative	overall	Sex-combined
13612_7	NA	overall	Sex-combined
13613_23	negative	overall	Sex-combined
13614_6	positive	overall	Sex-combined
13618_15	negative	overall	Sex-combined
13620_10	negative	overall	Sex-combined
13622_16	NA	overall	Sex-combined
13625_19	NA	overall	Sex-combined
13631_1	negative	overall	Sex-combined
13632_10	negative	overall	Sex-combined
13634_209	negative	overall	Sex-combined
13645_14	negative	overall	Sex-combined
13652_2	positive	overall	Sex-combined
13654_1	NA	overall	Sex-combined
13657_2	negative	overall	Sex-combined
13659_36	positive	overall	Sex-combined
13671_40	negative	overall	Sex-combined
13672_3	negative	overall	Sex-combined
13673_21	negative	overall	Sex-combined
13676_46	negative	overall	Sex-combined
13686_2	negative	overall	Sex-combined
13692_154	positive	overall	Sex-combined
13698_28	negative	overall	Sex-combined
13700_10	positive	overall	Sex-combined
13711_10	negative	overall	Sex-combined
13713_164	NA	overall	Sex-combined
13717_15	positive	overall	Sex-combined
13719_19	negative	overall	Sex-combined
13724_27	negative	overall	Sex-combined
13726_4	NA	overall	Sex-combined
13727_44	NA	overall	Sex-combined
13728_19	NA	overall	Sex-combined
13729_26	negative	overall	Sex-combined
13738_8	negative	overall	Sex-combined
13744_37	negative	overall	Sex-combined
13748_4	negative	overall	Sex-combined
13929_27	positive	overall	Sex-combined
13930_3	positive	overall	Sex-combined
13931_22	NA	overall	Sex-combined
13934_3	negative	overall	Sex-combined
13936_24	NA	overall	Sex-combined
13941_82	negative	overall	Sex-combined
13947_371	positive	overall	Sex-combined
13948_50	NA	overall	Sex-combined
13954_9	NA	overall	Sex-combined
13955_33	negative	overall	Sex-combined
13959_7	positive	overall	Sex-combined
13960_15	negative	overall	Sex-combined
13961_18	negative	overall	Sex-combined
13963_7	NA	overall	Sex-combined
13966_30	negative	overall	Sex-combined
13969_24	NA	overall	Sex-combined
13973_62	positive	overall	Sex-combined
13975_56	NA	overall	Sex-combined
13977_28	negative	overall	Sex-combined
13982_33	negative	overall	Sex-combined
13984_23	negative	overall	Sex-combined
13986_6	negative	overall	Sex-combined
13991_47	NA	overall	Sex-combined
13992_12	NA	overall	Sex-combined
14002_18	positive	overall	Sex-combined
14006_36	negative	overall	Sex-combined
14007_22	negative	overall	Sex-combined
